Gnucap 2009.12.07 RCS 26.136
The Gnu Circuit Analysis Package
Never trust any version less than 1.0
Copyright 1982-2009, Albert Davis
Gnucap comes with ABSOLUTELY NO WARRANTY
This is free software, and you are welcome
to redistribute it under the terms of 
the GNU General Public License, version 3 or later.
See the file "COPYING" for details.
******************************************************************************** 
#Freq       VDB(R3)    VDB(2)     VP(R3)     VP(2)     
 511.29    -46.941    -12.701E-6  1.5667     352.79E-6 
 511.41    -46.939    -12.701E-6  1.5667     352.71E-6 
 511.53    -46.937    -12.701E-6  1.5666     352.63E-6 
 511.65    -46.935    -12.701E-6  1.5666     352.55E-6 
 511.76    -46.933    -12.701E-6  1.5666     352.46E-6 
 511.88    -46.931    -12.7E-6    1.5666     352.38E-6 
 512.      -46.929    -12.7E-6    1.5666     352.3E-6  
 512.12    -46.927    -12.7E-6    1.5666     352.22E-6 
 512.24    -46.925    -12.7E-6    1.5666     352.14E-6 
 512.35    -46.923    -12.699E-6  1.5666     352.06E-6 
 512.47    -46.921    -12.699E-6  1.5666     351.98E-6 
 512.59    -46.919    -12.699E-6  1.5666     351.9E-6  
 512.71    -46.917    -12.699E-6  1.5666     351.82E-6 
 512.83    -46.915    -12.698E-6  1.5666     351.73E-6 
 512.94    -46.913    -12.698E-6  1.5666     351.65E-6 
 513.06    -46.911    -12.698E-6  1.5666     351.57E-6 
 513.18    -46.909    -12.698E-6  1.5666     351.49E-6 
 513.3     -46.907    -12.697E-6  1.5666     351.41E-6 
 513.42    -46.905    -12.697E-6  1.5666     351.33E-6 
 513.53    -46.903    -12.697E-6  1.5666     351.25E-6 
 513.65    -46.901    -12.697E-6  1.5666     351.17E-6 
 513.77    -46.899    -12.696E-6  1.5666     351.09E-6 
 513.89    -46.897    -12.696E-6  1.5666     351.01E-6 
 514.01    -46.895    -12.696E-6  1.5666     350.93E-6 
 514.13    -46.893    -12.696E-6  1.5666     350.84E-6 
 514.24    -46.891    -12.695E-6  1.5666     350.76E-6 
 514.36    -46.889    -12.695E-6  1.5666     350.68E-6 
 514.48    -46.887    -12.695E-6  1.5666     350.6E-6  
 514.6     -46.885    -12.695E-6  1.5666     350.52E-6 
 514.72    -46.883    -12.694E-6  1.5666     350.44E-6 
 514.84    -46.881    -12.694E-6  1.5666     350.36E-6 
 514.96    -46.879    -12.694E-6  1.5666     350.28E-6 
 515.07    -46.877    -12.694E-6  1.5666     350.2E-6  
 515.19    -46.875    -12.693E-6  1.5666     350.12E-6 
 515.31    -46.873    -12.693E-6  1.5666     350.04E-6 
 515.43    -46.871    -12.693E-6  1.5666     349.96E-6 
 515.55    -46.869    -12.693E-6  1.5666     349.88E-6 
 515.67    -46.867    -12.692E-6  1.5666     349.8E-6  
 515.79    -46.865    -12.692E-6  1.5666     349.72E-6 
 515.91    -46.863    -12.692E-6  1.5666     349.64E-6 
 516.02    -46.861    -12.692E-6  1.5666     349.55E-6 
 516.14    -46.859    -12.691E-6  1.5666     349.47E-6 
 516.26    -46.857    -12.691E-6  1.5666     349.39E-6 
 516.38    -46.855    -12.691E-6  1.5666     349.31E-6 
 516.5     -46.853    -12.691E-6  1.5666     349.23E-6 
 516.62    -46.851    -12.69E-6   1.5666     349.15E-6 
 516.74    -46.849    -12.69E-6   1.5666     349.07E-6 
 516.86    -46.847    -12.69E-6   1.5666     348.99E-6 
 516.98    -46.845    -12.69E-6   1.5666     348.91E-6 
 517.09    -46.843    -12.689E-6  1.5666     348.83E-6 
 517.21    -46.841    -12.689E-6  1.5666     348.75E-6 
 517.33    -46.839    -12.689E-6  1.5666     348.67E-6 
 517.45    -46.837    -12.689E-6  1.5666     348.59E-6 
 517.57    -46.835    -12.688E-6  1.5666     348.51E-6 
 517.69    -46.833    -12.688E-6  1.5666     348.43E-6 
 517.81    -46.831    -12.688E-6  1.5666     348.35E-6 
 517.93    -46.829    -12.688E-6  1.5666     348.27E-6 
 518.05    -46.827    -12.687E-6  1.5666     348.19E-6 
 518.17    -46.825    -12.687E-6  1.5666     348.11E-6 
 518.29    -46.823    -12.687E-6  1.5666     348.03E-6 
 518.41    -46.821    -12.687E-6  1.5666     347.95E-6 
 518.53    -46.819    -12.687E-6  1.5666     347.87E-6 
 518.64    -46.817    -12.686E-6  1.5666     347.79E-6 
 518.76    -46.815    -12.686E-6  1.5666     347.71E-6 
 518.88    -46.813    -12.686E-6  1.5666     347.63E-6 
 519.      -46.811    -12.686E-6  1.5666     347.55E-6 
 519.12    -46.809    -12.685E-6  1.5666     347.47E-6 
 519.24    -46.807    -12.685E-6  1.5666     347.39E-6 
 519.36    -46.805    -12.685E-6  1.5666     347.31E-6 
 519.48    -46.803    -12.685E-6  1.5666     347.23E-6 
 519.6     -46.801    -12.684E-6  1.5666     347.15E-6 
 519.72    -46.799    -12.684E-6  1.5666     347.07E-6 
 519.84    -46.797    -12.684E-6  1.5666     346.99E-6 
 519.96    -46.795    -12.684E-6  1.5666     346.91E-6 
 520.08    -46.793    -12.683E-6  1.5666     346.83E-6 
 520.2     -46.791    -12.683E-6  1.5666     346.75E-6 
 520.32    -46.789    -12.683E-6  1.5666     346.67E-6 
 520.44    -46.787    -12.683E-6  1.5666     346.59E-6 
 520.56    -46.785    -12.682E-6  1.5666     346.51E-6 
 520.68    -46.783    -12.682E-6  1.5666     346.43E-6 
 520.8     -46.781    -12.682E-6  1.5666     346.35E-6 
 520.92    -46.779    -12.682E-6  1.5666     346.27E-6 
 521.04    -46.777    -12.681E-6  1.5666     346.19E-6 
 521.16    -46.775    -12.681E-6  1.5666     346.11E-6 
 521.28    -46.773    -12.681E-6  1.5666     346.03E-6 
 521.4     -46.771    -12.681E-6  1.5666     345.95E-6 
 521.52    -46.769    -12.681E-6  1.5666     345.87E-6 
 521.64    -46.767    -12.68E-6   1.5666     345.79E-6 
 521.76    -46.765    -12.68E-6   1.5666     345.71E-6 
 521.88    -46.763    -12.68E-6   1.5666     345.63E-6 
 522.      -46.761    -12.68E-6   1.5666     345.55E-6 
 522.12    -46.759    -12.679E-6  1.5665     345.47E-6 
 522.24    -46.757    -12.679E-6  1.5665     345.39E-6 
 522.36    -46.755    -12.679E-6  1.5665     345.31E-6 
 522.48    -46.753    -12.679E-6  1.5665     345.24E-6 
 522.6     -46.751    -12.678E-6  1.5665     345.16E-6 
 522.72    -46.749    -12.678E-6  1.5665     345.08E-6 
 522.84    -46.747    -12.678E-6  1.5665     345.E-6   
 522.96    -46.745    -12.678E-6  1.5665     344.92E-6 
 523.08    -46.743    -12.677E-6  1.5665     344.84E-6 
 523.2     -46.741    -12.677E-6  1.5665     344.76E-6 
 523.32    -46.739    -12.677E-6  1.5665     344.68E-6 
 523.44    -46.737    -12.677E-6  1.5665     344.6E-6  
 523.56    -46.735    -12.676E-6  1.5665     344.52E-6 
 523.68    -46.733    -12.676E-6  1.5665     344.44E-6 
 523.81    -46.731    -12.676E-6  1.5665     344.36E-6 
 523.93    -46.729    -12.676E-6  1.5665     344.28E-6 
 524.05    -46.727    -12.675E-6  1.5665     344.2E-6  
 524.17    -46.725    -12.675E-6  1.5665     344.12E-6 
 524.29    -46.723    -12.675E-6  1.5665     344.05E-6 
 524.41    -46.721    -12.675E-6  1.5665     343.97E-6 
 524.53    -46.719    -12.675E-6  1.5665     343.89E-6 
 524.65    -46.717    -12.674E-6  1.5665     343.81E-6 
 524.77    -46.715    -12.674E-6  1.5665     343.73E-6 
 524.89    -46.713    -12.674E-6  1.5665     343.65E-6 
 525.01    -46.711    -12.674E-6  1.5665     343.57E-6 
 525.13    -46.709    -12.673E-6  1.5665     343.49E-6 
 525.25    -46.707    -12.673E-6  1.5665     343.41E-6 
 525.38    -46.705    -12.673E-6  1.5665     343.33E-6 
 525.5     -46.703    -12.673E-6  1.5665     343.25E-6 
 525.62    -46.701    -12.672E-6  1.5665     343.17E-6 
 525.74    -46.699    -12.672E-6  1.5665     343.1E-6  
 525.86    -46.697    -12.672E-6  1.5665     343.02E-6 
 525.98    -46.695    -12.672E-6  1.5665     342.94E-6 
 526.1     -46.693    -12.671E-6  1.5665     342.86E-6 
 526.22    -46.691    -12.671E-6  1.5665     342.78E-6 
 526.34    -46.689    -12.671E-6  1.5665     342.7E-6  
 526.47    -46.687    -12.671E-6  1.5665     342.62E-6 
 526.59    -46.685    -12.671E-6  1.5665     342.54E-6 
 526.71    -46.683    -12.67E-6   1.5665     342.46E-6 
 526.83    -46.681    -12.67E-6   1.5665     342.39E-6 
 526.95    -46.679    -12.67E-6   1.5665     342.31E-6 
 527.07    -46.677    -12.67E-6   1.5665     342.23E-6 
 527.19    -46.675    -12.669E-6  1.5665     342.15E-6 
 527.31    -46.673    -12.669E-6  1.5665     342.07E-6 
 527.44    -46.671    -12.669E-6  1.5665     341.99E-6 
 527.56    -46.669    -12.669E-6  1.5665     341.91E-6 
 527.68    -46.667    -12.668E-6  1.5665     341.83E-6 
 527.8     -46.665    -12.668E-6  1.5665     341.76E-6 
 527.92    -46.663    -12.668E-6  1.5665     341.68E-6 
 528.04    -46.661    -12.668E-6  1.5665     341.6E-6  
 528.17    -46.659    -12.668E-6  1.5665     341.52E-6 
 528.29    -46.657    -12.667E-6  1.5665     341.44E-6 
 528.41    -46.655    -12.667E-6  1.5665     341.36E-6 
